,Unnamed: 0,Title,Search,Location,Company,detail_url
2035,3381,Marketing & Customer Insights – Data Scientist Intern,Data+analyst,"San Francisco, CA",        Adobe,/rc/clk?jk=7d9032db854fa829&fccid=f89deb5a97c7738a&vjs=3
2036,3382,Data Analyst - Contract,Data+analyst,"San Francisco, CA",        MasterClass,/rc/clk?jk=6888456b229975c4&fccid=6139161347d735b5&vjs=3
2037,3383,Intelligence Analyst,Data+analyst,"San Francisco, CA",        Pilot44,/rc/clk?jk=08996f8acf86449a&fccid=02d57a9a02f458b8&vjs=3
2038,3384,Business Data Analyst,Data+analyst,"San Mateo, CA 94402 (Beresford area)",        Freedom Financial Network,/rc/clk?jk=926e33bde589ad53&fccid=6147e1b77fcf388f&vjs=3
2039,3385,Associate Business Analyst,Data+analyst,"San Francisco, CA",        ClickTime,/rc/clk?jk=9e72dc2fc496464c&fccid=aec5855d4cdfc6ea&vjs=3
2040,3386,"Data Analyst, Cash Customer Success",Data+analyst,"San Francisco, CA 94103 (South Of Market area)",        Square,/rc/clk?jk=7ca4cabbf14a525c&fccid=09abad886b83c501&vjs=3
2041,3387,"Product Analyst, Sales Finance",Data+analyst,"San Francisco, CA 94103 (South Of Market area)",        Twitter,/rc/clk?jk=9f76379ce6ffdcba&fccid=7a3824693ee1074b&vjs=3
2042,3388,Data Analyst - Business Intelligence,Data+analyst,"San Francisco, CA",        goPuff,/rc/clk?jk=1356e30bfa8c8cd4&fccid=8a2222c2ef6a251d&vjs=3
2043,3389,Marketing Data Analyst,Data+analyst,"San Francisco, CA 94110 (Mission area)",        Automattic Inc.,/rc/clk?jk=382c669a44df2792&fccid=1fe1bab005af3f5e&vjs=3
2044,3395,Procurement Analyst,Data+analyst,"San Francisco, CA 94104 (Financial District area)",        University of California San Francisco,/rc/clk?jk=523ff0687a48ac0e&fccid=2a341562d64c7cdb&vjs=3
2045,3396,Data Storyteller (Can Sit Remote),Data+analyst,"San Francisco, CA",        Improve Recruiting and Consulting,/rc/clk?cmp=improv.e.recruiting.consulting%40gmail.com&ti=Data+Storyteller&jk=728c254e5e8d5713&fccid=0ee95f6e8080bb7f&vjs=3
2046,3397,Database Specialist/Data Analyst,Data+analyst,"Redwood City, CA 94062",        Alder Graduate School of Education,/company/Alder-Graduate-School-of-Education/jobs/Database-Specialist-Data-Analyst-a30c8bf4aa560369?fccid=fa745fb6b1a3441a&vjs=3
2047,3398,Healthcare Data Analyst,Data+analyst,"Oakland, CA",        University HealthCare Alliance,/rc/clk?jk=2555d33e42bb56e9&fccid=0131866d3eb1e679&vjs=3
